Date ,Time ,SIC32859,PI32272,FI32446,FI32446-TH,FI31460,FI32401,TIC32086,HIC32603,SIC32808- 32K001A,TI32015,AYI31749,AN_LOAD,TI32084,TI32087,TI32046,PI32243,MC_S004,MC_H007,MC_H021,MC_H003,between,Under,Bulk,FOR,Hardness,Coating 
9/20/2023,14:00,30,1.6,32,40.6,26.1,102,92.3,50,56,30.2,95.45,77.3,89.2,26.8,55.3,-1.3,0.05,0.06,0.3,3.05,95.5,0.5,722,10.9,0.5,1110
9/20/2023,20:00,30,1.6,32,40.6,25.9,104,91.4,47,53,28.2,95.49,77,89.2,26.8,55.1,-1.5,0.05,0.05,0.3,3.11,94.9,0.5,720,10.6,0.5,1090
9/21/2023,2:00,30,1.65,32,40.6,26,104,92.4,45,51,28,95.5,79.5,88.9,26.1,54.9,-1.4,0.07,0.07,0.44,3.27,95.2,0.5,724,10.4,0.5,1045
9/21/2023,8:00,30,1.65,32,40.6,25.9,104,92,45,51,30,95.46,78,88.2,26,54,-1.4,0.06,0.09,0.62,3.28,94.1,0.3,728,10.5,0.5,1015
9/21/2023,14:00,30,1.7,31.5,40.6,26,102,92,53,58,32,95.45,79,88.8,25.8,55.3,-1.5,0.06,0.07,0.37,3.44,94.8,0.5,726,10.3,0.4,950
9/21/2023,20:00,30,1.71,31.2,40.6,25.8,104,91.6,47,53,29.3,95.46,76.5,89.5,25.7,55.8,-1.5,0.06,0.06,0.24,3.34,94.2,0.4,724,10.6,0.5,1060
9/22/2023,2:00,30,1.68,31.1,40.6,25.8,104,92.4,46,52,28.9,95.46,78.8,88.7,25,54.5,-1.5,0.07,0.06,0.51,3.21,94.6,0.4,720,10.3,0.5,1000
9/22/2023,8:00,30,1.7,30.77,40.6,25.74,103,91.8,42,48,27.6,95.45,77.6,88,24.7,54.5,-1.6,0.08,0.11,0.88,3.29,94.5,0.5,716,10.4,0.5,1090
9/22/2023,14:00,30,1.73,31.04,40.6,26.1,103,92,60,65,31.4,95.45,78.4,89.5,26.7,54.6,-1.6,0.07,0.05,0.37,3.2,94.5,0.5,720,10.6,0.6,1020
9/22/2023,20:00,30,1.71,30.8,40.6,26.1,103,91.5,50,56,29.1,95.47,79,89.5,25.7,55.4,-1.6,0.06,0.07,0.36,3.06,94.4,0.8,722,10.5,0.5,1060
